category,project_folder,project_title,field,source_upload_path,copied_file
01 Recent Projects,01 Recent Projects/01 Chairs Missing (2020),Chairs Missing (2020),furniture_picture,2020/03/Chairs-Missing-10_cutout.png,01 Recent Projects/01 Chairs Missing (2020)/01-main-chairs-missing-2020.png
01 Recent Projects,01 Recent Projects/01 Chairs Missing (2020),Chairs Missing (2020),additional_image_1,2020/03/Chairs-Missing-1.jpeg,01 Recent Projects/01 Chairs Missing (2020)/02-detail-chairs-missing-2020.jpeg
01 Recent Projects,01 Recent Projects/01 Chairs Missing (2020),Chairs Missing (2020),additional_image_2,2020/03/Chairs-Missing-2.jpeg,01 Recent Projects/01 Chairs Missing (2020)/03-detail-chairs-missing-2020.jpeg
01 Recent Projects,01 Recent Projects/01 Chairs Missing (2020),Chairs Missing (2020),additional_image_3,2020/03/Chairs-Missing-3.jpeg,01 Recent Projects/01 Chairs Missing (2020)/04-detail-chairs-missing-2020.jpeg
01 Recent Projects,01 Recent Projects/01 Chairs Missing (2020),Chairs Missing (2020),additional_image_4,2020/03/Chairs-Missing-4.jpeg,01 Recent Projects/01 Chairs Missing (2020)/05-detail-chairs-missing-2020.jpeg
01 Recent Projects,01 Recent Projects/01 Chairs Missing (2020),Chairs Missing (2020),additional_image_5,2020/03/Chairs-Missing-5.jpeg,01 Recent Projects/01 Chairs Missing (2020)/06-detail-chairs-missing-2020.jpeg
01 Recent Projects,01 Recent Projects/01 Chairs Missing (2020),Chairs Missing (2020),additional_image_6,2020/03/Chairs-Missing-7.jpeg,01 Recent Projects/01 Chairs Missing (2020)/07-detail-chairs-missing-2020.jpeg
01 Recent Projects,01 Recent Projects/01 Chairs Missing (2020),Chairs Missing (2020),additional_image_7,2020/03/Chairs-Missing-8.jpeg,01 Recent Projects/01 Chairs Missing (2020)/08-detail-chairs-missing-2020.jpeg
01 Recent Projects,01 Recent Projects/01 Chairs Missing (2020),Chairs Missing (2020),additional_image_8,2020/03/Chairs-Missing-9.jpeg,01 Recent Projects/01 Chairs Missing (2020)/09-detail-chairs-missing-2020.jpeg
01 Recent Projects,01 Recent Projects/02 PRIVILEGED (The Colour of Spring),PRIVILEGED (The Colour of Spring),furniture_picture,2018/09/DSC4173wMirrors_flat2_cutout.png,01 Recent Projects/02 PRIVILEGED (The Colour of Spring)/01-main-privileged-the-colour-of-spring.png
01 Recent Projects,01 Recent Projects/02 PRIVILEGED (The Colour of Spring),PRIVILEGED (The Colour of Spring),additional_image_1,2020/02/DSC4139.jpg,01 Recent Projects/02 PRIVILEGED (The Colour of Spring)/02-detail-privileged-the-colour-of-spring.jpg
01 Recent Projects,01 Recent Projects/02 PRIVILEGED (The Colour of Spring),PRIVILEGED (The Colour of Spring),additional_image_2,2020/02/DSC4173wMirrors_flat2.jpeg,01 Recent Projects/02 PRIVILEGED (The Colour of Spring)/03-detail-privileged-the-colour-of-spring.jpeg
01 Recent Projects,01 Recent Projects/02 PRIVILEGED (The Colour of Spring),PRIVILEGED (The Colour of Spring),additional_image_3,2020/02/DSC4178_Mirror.jpeg,01 Recent Projects/02 PRIVILEGED (The Colour of Spring)/04-detail-privileged-the-colour-of-spring.jpeg
01 Recent Projects,01 Recent Projects/02 PRIVILEGED (The Colour of Spring),PRIVILEGED (The Colour of Spring),additional_image_4,2020/02/DSC4147-4145-Comb.jpeg,01 Recent Projects/02 PRIVILEGED (The Colour of Spring)/05-detail-privileged-the-colour-of-spring.jpeg
01 Recent Projects,01 Recent Projects/02 PRIVILEGED (The Colour of Spring),PRIVILEGED (The Colour of Spring),additional_image_5,2020/02/DSC4147.jpeg,01 Recent Projects/02 PRIVILEGED (The Colour of Spring)/06-detail-privileged-the-colour-of-spring.jpeg
01 Recent Projects,01 Recent Projects/02 PRIVILEGED (The Colour of Spring),PRIVILEGED (The Colour of Spring),additional_image_6,2020/02/DSC4153.jpeg,01 Recent Projects/02 PRIVILEGED (The Colour of Spring)/07-detail-privileged-the-colour-of-spring.jpeg
01 Recent Projects,01 Recent Projects/02 PRIVILEGED (The Colour of Spring),PRIVILEGED (The Colour of Spring),additional_image_7,2020/02/DSC4145.jpeg,01 Recent Projects/02 PRIVILEGED (The Colour of Spring)/08-detail-privileged-the-colour-of-spring.jpeg
